id,company_id,date,open_price,high_price,low_price,close_price,volume,adjusted_close,daily_return_pct
1,ABB,2020-01-01,1958.61,2150.53,1835.28,1964.3,26184368,1964.3,
2,ABB,2020-02-01,2177.03,2192.92,1931.08,2165.21,1668316,2165.21,10.22807106857404
3,ABB,2020-03-01,2221.26,2440.28,1995.23,2198.78,20578107,2198.78,1.5504269793692238
4,ABB,2020-04-01,1932.02,2027.44,1740.12,1958.56,14558597,1958.56,-10.925149401031486
5,ABB,2020-05-01,2089.0,2290.96,1878.23,2085.72,44638694,2085.72,6.492525120496695
6,ABB,2020-06-01,2114.21,2359.95,2101.69,2147.71,15968373,2147.71,2.9721151448900196
7,ABB,2020-07-01,2119.57,2330.49,2065.02,2118.66,446911,2118.66,-1.3526034706734191
8,ABB,2020-08-01,1941.12,2063.06,1767.09,1953.81,6081281,1953.81,-7.780861487921609
9,ABB,2020-09-01,1991.32,2085.52,1871.05,1954.44,18245117,1954.44,0.032244691141936066
10,ABB,2020-10-01,2005.26,2255.58,1834.78,2021.36,24912700,2021.36,3.423998690161878
11,ABB,2020-11-01,2027.54,2080.97,1865.82,2048.88,45422467,2048.88,1.3614596113507904
12,ABB,2020-12-01,2347.71,2433.72,2215.24,2372.19,49283957,2372.19,15.77984069345202
13,ABB,2021-01-01,2572.11,2651.03,2456.49,2558.57,18452378,2558.57,7.856874870899899
14,ABB,2021-02-01,2735.79,2914.71,2534.73,2699.58,4605459,2699.58,5.511281692507919
15,ABB,2021-03-01,2516.52,2603.31,2425.0,2566.14,33910461,2566.14,-4.942991131953867
16,ABB,2021-04-01,2471.98,2670.74,2266.46,2504.61,32294122,2504.61,-2.3977647361406507
17,ABB,2021-05-01,2354.51,2661.82,2140.68,2391.49,17119210,2391.49,-4.5164716263210725
18,ABB,2021-06-01,2654.68,2932.48,2575.83,2637.8,12971287,2637.8,10.29943675281939
19,ABB,2021-07-01,2743.08,2884.5,2447.99,2700.18,4745828,2700.18,2.364849495791943
20,ABB,2021-08-01,2921.22,3259.43,2790.95,2938.95,17017586,2938.95,8.842743817078858
21,ABB,2021-09-01,3009.47,3389.61,2955.67,3060.38,32137379,3060.38,4.131747733033908
22,ABB,2021-10-01,3083.76,3232.89,3078.96,3145.51,30360810,3145.51,2.781680706317524
23,ABB,2021-11-01,3257.09,3266.4,2901.58,3232.28,27481816,3232.28,2.758535181894195
24,ABB,2021-12-01,3093.21,3381.51,2828.06,3126.06,35637743,3126.06,-3.2862252032621053
25,ABB,2022-01-01,3383.86,3649.53,3284.92,3374.64,32914883,3374.64,7.951862728162595
26,ABB,2022-02-01,3209.01,3308.04,2984.29,3242.21,13333598,3242.21,-3.9242704406988516
27,ABB,2022-03-01,3259.98,3612.08,3094.78,3259.64,39761084,3259.64,0.5375962692114378
28,ABB,2022-04-01,3388.84,3605.7,3137.86,3358.95,9842625,3358.95,3.046655458885028
29,ABB,2022-05-01,3160.22,3537.12,3128.85,3176.72,45751733,3176.72,-5.425207282037547
30,ABB,2022-06-01,3362.05,3339.06,3241.42,3300.45,21466389,3300.45,3.8948978820922298
31,ABB,2022-07-01,3172.96,3493.82,2896.23,3165.76,8557688,3165.76,-4.0809586571528005
32,ABB,2022-08-01,2862.8,3238.41,2783.29,2909.68,28546052,2909.68,-8.089052865662605
33,ABB,2022-09-01,2972.83,3263.04,2835.36,2948.94,34881085,2948.94,1.3492892689230596
34,ABB,2022-10-01,2810.63,2913.74,2532.71,2776.2,40487121,2776.2,-5.857698020305612
35,ABB,2022-11-01,2923.94,3172.41,2749.59,2889.75,35128147,2889.75,4.090123189971906
36,ABB,2022-12-01,3528.41,3973.66,3289.61,3586.66,18841589,3586.66,24.116619084695913
37,ABB,2023-01-01,3530.85,3733.43,3305.9,3518.07,14398408,3518.07,-1.9123641493757337
38,ABB,2023-02-01,3550.57,3618.22,3156.74,3570.53,41147767,3570.53,1.4911585045209508
39,ABB,2023-03-01,3559.97,3962.82,3271.55,3620.01,31182234,3620.01,1.3857886644279782
40,ABB,2023-04-01,3440.94,3475.8,3211.49,3422.12,27077692,3422.12,-5.466559484642319
41,ABB,2023-05-01,2989.26,3336.89,2766.25,3040.53,22004673,3040.53,-11.15069021542201
42,ABB,2023-06-01,3129.29,3144.66,3061.14,3104.95,41815408,3104.95,2.1187095670820444
43,ABB,2023-07-01,2937.39,2991.63,2643.07,2912.39,27506410,2912.39,-6.201710172466546
44,ABB,2023-08-01,2910.49,3121.26,2625.87,2883.06,47747777,2883.06,-1.0070766621228633
45,ABB,2023-09-01,3312.81,3463.12,2974.86,3278.99,17863036,3278.99,13.732978155154596
46,ABB,2023-10-01,3450.33,3555.62,3137.99,3514.9,2395531,3514.9,7.194593457131626
47,ABB,2023-11-01,3639.79,3870.14,3245.63,3643.65,24631632,3643.65,3.662977609604834
48,ABB,2023-12-01,3867.28,3961.27,3571.21,3849.44,19985386,3849.44,5.6479080043362995
49,ABB,2024-01-01,3840.29,3980.18,3592.61,3786.3,25206499,3786.3,-1.640238580157105
50,ABB,2024-02-01,3875.82,4171.64,3460.47,3853.86,3621380,3853.86,1.7843277077886022
51,ABB,2024-03-01,3930.94,4351.87,3686.93,3908.54,19469679,3908.54,1.4188372177505126
52,ABB,2024-04-01,3839.69,4090.27,3625.9,3857.26,47079093,3857.26,-1.3119988537919514
53,ABB,2024-05-01,3885.34,4031.49,3624.54,3960.87,42259278,3960.87,2.6861036072237665
54,ABB,2024-06-01,3882.81,4236.17,3509.64,3852.49,5996424,3852.49,-2.7362675371824907
55,ABB,2024-07-01,4046.07,4471.38,3969.36,4098.96,14173525,4098.96,6.3976804612082105
56,ABB,2024-08-01,4200.79,4605.75,4083.8,4215.52,49526206,4215.52,2.8436481448953055
57,ABB,2024-09-01,4567.83,4798.38,4500.14,4580.84,42934796,4580.84,8.666072038562266
